x(0,0001) = 0	y(0,0001) = 0
x(0,0002) = 0,0025	y(0,0002) = 0,0014
x(0,0003) = 0,0049	y(0,0003) = 0,0028
x(0,0004) = 0,0071	y(0,0004) = 0,0041
x(0,0005) = 0,0092	y(0,0005) = 0,0053
x(0,0006) = 0,0112	y(0,0006) = 0,0064
x(0,0007) = 0,013	y(0,0007) = 0,0075
x(0,0008) = 0,0148	y(0,0008) = 0,0085
x(0,0009) = 0,0165	y(0,0009) = 0,0095
x(0,001) = 0,0182	y(0,001) = 0,0105
x(0,0011) = 0,0198	y(0,0011) = 0,0114
x(0,0012) = 0,0213	y(0,0012) = 0,0123
x(0,0013) = 0,0228	y(0,0013) = 0,0131
x(0,0014) = 0,0243	y(0,0014) = 0,014
x(0,0015) = 0,0257	y(0,0015) = 0,0148
x(0,0016) = 0,0271	y(0,0016) = 0,0156
x(0,0017) = 0,0284	y(0,0017) = 0,0164
x(0,0018) = 0,0297	y(0,0018) = 0,0171
x(0,0019) = 0,031	y(0,0019) = 0,0179
x(0,002) = 0,0323	y(0,002) = 0,0186
x(0,0021) = 0,0335	y(0,0021) = 0,0193
x(0,0022) = 0,0347	y(0,0022) = 0,02
x(0,0023) = 0,0359	y(0,0023) = 0,0207
x(0,0024) = 0,0371	y(0,0024) = 0,0214
x(0,0025) = 0,0382	y(0,0025) = 0,022
x(0,0026) = 0,0394	y(0,0026) = 0,0227
x(0,0027) = 0,0405	y(0,0027) = 0,0233
x(0,0028) = 0,0416	y(0,0028) = 0,024
x(0,0029) = 0,0427	y(0,0029) = 0,0246
x(0,003) = 0,0437	y(0,003) = 0,0252
x(0,0031) = 0,0448	y(0,0031) = 0,0258
x(0,0032) = 0,0458	y(0,0032) = 0,0264
x(0,0033) = 0,0468	y(0,0033) = 0,027
x(0,0034) = 0,0478	y(0,0034) = 0,0276
x(0,0035) = 0,0488	y(0,0035) = 0,0281
x(0,0036) = 0,0498	y(0,0036) = 0,0287
x(0,0037) = 0,0508	y(0,0037) = 0,0292
