x(0,0001) = 0	y(0,0001) = 0
x(0,0002) = 0,0087	y(0,0002) = 0,005
x(0,0003) = 0,0092	y(0,0003) = 0,0053
x(0,0004) = 0,0097	y(0,0004) = 0,0056
x(0,0005) = 0,0102	y(0,0005) = 0,0059
x(0,0006) = 0,0107	y(0,0006) = 0,0062
x(0,0007) = 0,0112	y(0,0007) = 0,0064
x(0,0008) = 0,0117	y(0,0008) = 0,0067
x(0,0009) = 0,0122	y(0,0009) = 0,007
x(0,001) = 0,0127	y(0,001) = 0,0073
x(0,0011) = 0,0132	y(0,0011) = 0,0076
x(0,0012) = 0,0136	y(0,0012) = 0,0079
x(0,0013) = 0,0141	y(0,0013) = 0,0082
x(0,0014) = 0,0146	y(0,0014) = 0,0084
x(0,0015) = 0,0151	y(0,0015) = 0,0087
x(0,0016) = 0,0156	y(0,0016) = 0,009
x(0,0017) = 0,0161	y(0,0017) = 0,0093
x(0,0018) = 0,0166	y(0,0018) = 0,0096
x(0,0019) = 0,017	y(0,0019) = 0,0098
x(0,002) = 0,0175	y(0,002) = 0,0101
x(0,0021) = 0,018	y(0,0021) = 0,0104
x(0,0022) = 0,0185	y(0,0022) = 0,0107
x(0,0023) = 0,019	y(0,0023) = 0,0109
x(0,0024) = 0,0194	y(0,0024) = 0,0112
x(0,0025) = 0,0199	y(0,0025) = 0,0115
x(0,0026) = 0,0204	y(0,0026) = 0,0117
x(0,0027) = 0,0209	y(0,0027) = 0,012
x(0,0028) = 0,0213	y(0,0028) = 0,0123
x(0,0029) = 0,0218	y(0,0029) = 0,0125
x(0,003) = 0,0223	y(0,003) = 0,0128
x(0,0031) = 0,0227	y(0,0031) = 0,0131
x(0,0032) = 0,0232	y(0,0032) = 0,0133
x(0,0033) = 0,0236	y(0,0033) = 0,0136
x(0,0034) = 0,0241	y(0,0034) = 0,0139
x(0,0035) = 0,0246	y(0,0035) = 0,0141
x(0,0036) = 0,025	y(0,0036) = 0,0144
x(0,0037) = 0,0255	y(0,0037) = 0,0147
x(0,0038) = 0,0259	y(0,0038) = 0,0149
x(0,0039) = 0,0264	y(0,0039) = 0,0152
x(0,004) = 0,0269	y(0,004) = 0,0154
x(0,0041) = 0,0273	y(0,0041) = 0,0157
x(0,0042) = 0,0278	y(0,0042) = 0,016
x(0,0043) = 0,0282	y(0,0043) = 0,0162
x(0,0044) = 0,0287	y(0,0044) = 0,0165
x(0,0045) = 0,0291	y(0,0045) = 0,0167
x(0,0046) = 0,0296	y(0,0046) = 0,017
x(0,0047) = 0,03	y(0,0047) = 0,0172
x(0,0048) = 0,0305	y(0,0048) = 0,0175
x(0,0049) = 0,0309	y(0,0049) = 0,0177
x(0,005) = 0,0313	y(0,005) = 0,018
x(0,0051) = 0,0318	y(0,0051) = 0,0182
x(0,0052) = 0,0322	y(0,0052) = 0,0185
x(0,0053) = 0,0327	y(0,0053) = 0,0187
x(0,0054) = 0,0331	y(0,0054) = 0,019
x(0,0055) = 0,0335	y(0,0055) = 0,0192
x(0,0056) = 0,034	y(0,0056) = 0,0195
x(0,0057) = 0,0344	y(0,0057) = 0,0197
x(0,0058) = 0,0348	y(0,0058) = 0,02
x(0,0059) = 0,0353	y(0,0059) = 0,0202
x(0,006) = 0,0357	y(0,006) = 0,0205
x(0,0061) = 0,0361	y(0,0061) = 0,0207
x(0,0062) = 0,0366	y(0,0062) = 0,0209
x(0,0063) = 0,037	y(0,0063) = 0,0212
x(0,0064) = 0,0374	y(0,0064) = 0,0214
x(0,0065) = 0,0379	y(0,0065) = 0,0217
x(0,0066) = 0,0383	y(0,0066) = 0,0219
x(0,0067) = 0,0387	y(0,0067) = 0,0222
x(0,0068) = 0,0391	y(0,0068) = 0,0224
x(0,0069) = 0,0396	y(0,0069) = 0,0226
x(0,007) = 0,04	y(0,007) = 0,0229
x(0,0071) = 0,0404	y(0,0071) = 0,0231
x(0,0072) = 0,0408	y(0,0072) = 0,0233
x(0,0073) = 0,0413	y(0,0073) = 0,0236
x(0,0074) = 0,0417	y(0,0074) = 0,0238
x(0,0075) = 0,0421	y(0,0075) = 0,0241
x(0,0076) = 0,0425	y(0,0076) = 0,0243
x(0,0077) = 0,0429	y(0,0077) = 0,0245
x(0,0078) = 0,0433	y(0,0078) = 0,0248
x(0,0079) = 0,0438	y(0,0079) = 0,025
x(0,008) = 0,0442	y(0,008) = 0,0252
x(0,0081) = 0,0446	y(0,0081) = 0,0254
x(0,0082) = 0,045	y(0,0082) = 0,0257
x(0,0083) = 0,0454	y(0,0083) = 0,0259
x(0,0084) = 0,0458	y(0,0084) = 0,0261
x(0,0085) = 0,0462	y(0,0085) = 0,0264
x(0,0086) = 0,0466	y(0,0086) = 0,0266
x(0,0087) = 0,047	y(0,0087) = 0,0268
x(0,0088) = 0,0474	y(0,0088) = 0,0271
x(0,0089) = 0,0479	y(0,0089) = 0,0273
x(0,009) = 0,0483	y(0,009) = 0,0275
x(0,0091) = 0,0487	y(0,0091) = 0,0277
x(0,0092) = 0,0491	y(0,0092) = 0,028
x(0,0093) = 0,0495	y(0,0093) = 0,0282
x(0,0094) = 0,0499	y(0,0094) = 0,0284
x(0,0095) = 0,0503	y(0,0095) = 0,0286
x(0,0096) = 0,0507	y(0,0096) = 0,0289
x(0,0097) = 0,0511	y(0,0097) = 0,0291
x(0,0098) = 0,0515	y(0,0098) = 0,0293
x(0,0099) = 0,0519	y(0,0099) = 0,0295
x(0,01) = 0,0523	y(0,01) = 0,0297
x(0,0101) = 0,0527	y(0,0101) = 0,03
x(0,0102) = 0,0531	y(0,0102) = 0,0302
x(0,0103) = 0,0535	y(0,0103) = 0,0304
x(0,0104) = 0,0539	y(0,0104) = 0,0306
x(0,0105) = 0,0542	y(0,0105) = 0,0308
x(0,0106) = 0,0546	y(0,0106) = 0,0311
x(0,0107) = 0,055	y(0,0107) = 0,0313
x(0,0108) = 0,0554	y(0,0108) = 0,0315
x(0,0109) = 0,0558	y(0,0109) = 0,0317
x(0,011) = 0,0562	y(0,011) = 0,0319
x(0,0111) = 0,0566	y(0,0111) = 0,0321
x(0,0112) = 0,057	y(0,0112) = 0,0323
x(0,0113) = 0,0574	y(0,0113) = 0,0326
x(0,0114) = 0,0578	y(0,0114) = 0,0328
x(0,0115) = 0,0581	y(0,0115) = 0,033
x(0,0116) = 0,0585	y(0,0116) = 0,0332
x(0,0117) = 0,0589	y(0,0117) = 0,0334
x(0,0118) = 0,0593	y(0,0118) = 0,0336
x(0,0119) = 0,0597	y(0,0119) = 0,0338
x(0,012) = 0,0601	y(0,012) = 0,034
x(0,0121) = 0,0604	y(0,0121) = 0,0343
x(0,0122) = 0,0608	y(0,0122) = 0,0345
x(0,0123) = 0,0612	y(0,0123) = 0,0347
x(0,0124) = 0,0616	y(0,0124) = 0,0349
x(0,0125) = 0,062	y(0,0125) = 0,0351
x(0,0126) = 0,0623	y(0,0126) = 0,0353
x(0,0127) = 0,0627	y(0,0127) = 0,0355
x(0,0128) = 0,0631	y(0,0128) = 0,0357
x(0,0129) = 0,0635	y(0,0129) = 0,0359
x(0,013) = 0,0639	y(0,013) = 0,0361
x(0,0131) = 0,0642	y(0,0131) = 0,0363
x(0,0132) = 0,0646	y(0,0132) = 0,0365
x(0,0133) = 0,065	y(0,0133) = 0,0367
x(0,0134) = 0,0653	y(0,0134) = 0,0369
x(0,0135) = 0,0657	y(0,0135) = 0,0372
x(0,0136) = 0,0661	y(0,0136) = 0,0374
x(0,0137) = 0,0665	y(0,0137) = 0,0376
x(0,0138) = 0,0668	y(0,0138) = 0,0378
x(0,0139) = 0,0672	y(0,0139) = 0,038
x(0,014) = 0,0676	y(0,014) = 0,0382
x(0,0141) = 0,0679	y(0,0141) = 0,0384
x(0,0142) = 0,0683	y(0,0142) = 0,0386
x(0,0143) = 0,0687	y(0,0143) = 0,0388
x(0,0144) = 0,069	y(0,0144) = 0,039
x(0,0145) = 0,0694	y(0,0145) = 0,0392
x(0,0146) = 0,0698	y(0,0146) = 0,0394
x(0,0147) = 0,0701	y(0,0147) = 0,0396
x(0,0148) = 0,0705	y(0,0148) = 0,0398
x(0,0149) = 0,0709	y(0,0149) = 0,04
x(0,015) = 0,0712	y(0,015) = 0,0402
x(0,0151) = 0,0716	y(0,0151) = 0,0404
x(0,0152) = 0,072	y(0,0152) = 0,0406
x(0,0153) = 0,0723	y(0,0153) = 0,0407
x(0,0154) = 0,0727	y(0,0154) = 0,0409
x(0,0155) = 0,0731	y(0,0155) = 0,0411
x(0,0156) = 0,0734	y(0,0156) = 0,0413
x(0,0157) = 0,0738	y(0,0157) = 0,0415
x(0,0158) = 0,0741	y(0,0158) = 0,0417
x(0,0159) = 0,0745	y(0,0159) = 0,0419
x(0,016) = 0,0748	y(0,016) = 0,0421
x(0,0161) = 0,0752	y(0,0161) = 0,0423
x(0,0162) = 0,0756	y(0,0162) = 0,0425
x(0,0163) = 0,0759	y(0,0163) = 0,0427
x(0,0164) = 0,0763	y(0,0164) = 0,0429
x(0,0165) = 0,0766	y(0,0165) = 0,0431
x(0,0166) = 0,077	y(0,0166) = 0,0433
x(0,0167) = 0,0773	y(0,0167) = 0,0435
x(0,0168) = 0,0777	y(0,0168) = 0,0436
x(0,0169) = 0,078	y(0,0169) = 0,0438
x(0,017) = 0,0784	y(0,017) = 0,044
x(0,0171) = 0,0787	y(0,0171) = 0,0442
x(0,0172) = 0,0791	y(0,0172) = 0,0444
x(0,0173) = 0,0794	y(0,0173) = 0,0446
x(0,0174) = 0,0798	y(0,0174) = 0,0448
x(0,0175) = 0,0801	y(0,0175) = 0,045
x(0,0176) = 0,0805	y(0,0176) = 0,0451
x(0,0177) = 0,0808	y(0,0177) = 0,0453
x(0,0178) = 0,0812	y(0,0178) = 0,0455
x(0,0179) = 0,0815	y(0,0179) = 0,0457
x(0,018) = 0,0819	y(0,018) = 0,0459
x(0,0181) = 0,0822	y(0,0181) = 0,0461
x(0,0182) = 0,0826	y(0,0182) = 0,0463
x(0,0183) = 0,0829	y(0,0183) = 0,0464
x(0,0184) = 0,0833	y(0,0184) = 0,0466
x(0,0185) = 0,0836	y(0,0185) = 0,0468
x(0,0186) = 0,084	y(0,0186) = 0,047
x(0,0187) = 0,0843	y(0,0187) = 0,0472
x(0,0188) = 0,0847	y(0,0188) = 0,0474
x(0,0189) = 0,085	y(0,0189) = 0,0475
x(0,019) = 0,0853	y(0,019) = 0,0477
x(0,0191) = 0,0857	y(0,0191) = 0,0479
x(0,0192) = 0,086	y(0,0192) = 0,0481
x(0,0193) = 0,0864	y(0,0193) = 0,0483
x(0,0194) = 0,0867	y(0,0194) = 0,0485
x(0,0195) = 0,087	y(0,0195) = 0,0486
x(0,0196) = 0,0874	y(0,0196) = 0,0488
x(0,0197) = 0,0877	y(0,0197) = 0,049
x(0,0198) = 0,0881	y(0,0198) = 0,0492
x(0,0199) = 0,0884	y(0,0199) = 0,0494
x(0,02) = 0,0887	y(0,02) = 0,0495
x(0,0201) = 0,0891	y(0,0201) = 0,0497
x(0,0202) = 0,0894	y(0,0202) = 0,0499
